Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000103522,IL21R,0.005126396810241985,-3.332583590816289,1.6495108587890145e-11,0.05988154628031188,3.344304749429961,9.363647253755719e-12,0.016965890828410983,0.8177248734314322,1.0
ENSG00000077235,GTF3C1,0.14866550749701757,-0.28405369688863047,0.321191494629017,0.1778834168915147,0.24884661013326115,0.40451361916683715,0.2035906899409318,0.4737704722140714,1.0
ENSG00000047578,KIAA0556,0.09284474222993817,0.8729653203567449,0.00925243367156221,0.051075436533207196,-0.7936954846161144,0.025472796847215883,0.033931781656821966,-0.7303380444781946,1.0
ENSG00000261329,AC016597.1,0.017087989367473282,1.1476815312381738,0.18139832536190548,0.005283665848262813,-1.3255466488777081,0.11725148525689336,0.016965890828410983,1.1896936508183904,1.0
ENSG00000273553,AC016597.2,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000169180,XPO6,0.17771508942172215,-0.4983485855058234,0.021365235727555377,0.2571384046154569,0.534275693074032,0.015111744471220778,0.1866247991125208,0.019768649376077807,1.0
ENSG00000188322,SBK1,0.0239231851144626,0.619749975553396,0.4562032973308528,0.012328553645946564,-0.8173997452073829,0.3928039184539003,0.033931781656821966,1.2182628030151612,1.0
ENSG00000246465,AC138904.1,0.002847998227912214,-0.48458668426133844,1.0,0.0017612219494209376,-0.13290157093531185,1.0,0.016965890828410983,3.4698015700111258,1.0
ENSG00000198156,NPIPB6,0.003417597873494657,-0.9991598570910973,0.48159561566512754,0.00704488779768375,1.1890265239520508,0.4389894878160744,0.0,1.8177248734314322,1.0
ENSG00000205609,EIF3CL,0.005126396810241985,-0.1626585893739767,1.0,0.005283665848262813,0.35252525623492925,1.0,0.0,1.5767167739276378,1.0
ENSG00000233232,NPIPB7,0.0,-2.4845866842613376,0.4299332778358309,0.0017612219494209376,2.674453351122292,0.40451361916683715,0.0,4.2771564920687295,1.0
ENSG00000188603,CLN3,0.21075186886550384,0.42133207227985503,0.09469775666939971,0.15498753154904252,-0.42346040540463203,0.1085218935453493,0.16965890828410984,-0.10576223270778096,1.0
ENSG00000184730,APOBR,0.007974395038154199,-1.1626585893739767,0.15645561924426316,0.019373441443630315,1.3525252562349301,0.08820429585364985,0.0,0.5767167739276378,1.0
ENSG00000197272,IL27,0.005695996455824428,1.9748449343759589,0.16527175662834917,0.0,-1.7849782675150054,0.2727222373343682,0.0,1.8177248734314322,1.0
ENSG00000176046,NUPR1,0.13670391493978626,-1.781150713660327,6.0453686668870105e-25,0.4825748141413369,1.7443181579968636,3.1242786294601814e-23,0.3562837073966306,0.7281594886354468,1.0
ENSG00000275441,AC020765.2,0.006835195746989314,-0.7841469661202467,0.4843886266194169,0.012328553645946564,0.9740136329811993,0.35817114205364214,0.0,0.9552283971813678,1.0
ENSG00000176476,SGF29,0.030188781215869466,-0.8171620233482093,0.08347428274608329,0.04755299263436532,0.5749176775713778,0.29851646411152877,0.1017953449704659,1.7446614112417094,0.9659319193333278
ENSG00000197165,SULT1A2,0.0005695996455824428,-2.806514779148701,0.05393463309515503,0.00704488779768375,2.9963814460096545,0.04032647152517764,0.0,2.6921939913475734,1.0
ENSG00000196502,SULT1A1,0.005126396810241985,-3.4845866842613393,2.387279418524848e-12,0.05988154628031188,2.8968457724587395,2.128660959058363e-09,0.08482945414205492,2.4026873741525883,0.8457284867341156
ENSG00000255524,NPIPB8,0.0005695996455824428,-0.48458668426133755,1.0,0.0,0.6744533511222919,1.0,0.0,4.2771564920687295,1.0
ENSG00000184110,EIF3C,0.10993273159741146,0.5006163138105806,0.1152544477119873,0.07573254382510032,-0.5027396507840591,0.1326577035447969,0.08482945414205492,-0.026624256108373157,1.0
ENSG00000251417,AC145285.2,0.0045567971646595425,0.6853383171809746,0.677932558804422,0.0,-1.6474747437650707,0.2979766752987027,0.016965890828410983,3.1072314906264173,1.0
ENSG00000275807,AC145285.6,0.0017087989367473284,-0.48458668426133755,1.0,0.0017612219494209376,0.6744533511222919,1.0,0.0,2.9552283971813678,1.0
