Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000133818,RRAS2,0.05954543330913018,1.2720883664184885,0.0014365750313301215,0.02475013470052242,-1.2720883664184885,0.0014365750313301215
ENSG00000129083,COPB1,0.4019316748366287,0.5136818807313277,0.009758059546999433,0.28181403374913033,-0.5136818807313277,0.009758059546999433
ENSG00000129084,PSMA1,0.6533457265862895,-0.5576222692023238,0.0006419135406874158,0.9624427380134969,0.5576222692023238,0.0006419135406874158
ENSG00000152270,PDE3B,0.07277775182227023,0.40248500367416407,0.580314512229406,0.05568780307617545,-0.40248500367416407,0.580314512229406
ENSG00000186104,CYP2R1,0.04962119442427515,0.24189786681118797,0.7254994606640846,0.04275023266453873,-0.24189786681118797,0.7254994606640846
ENSG00000188487,INSC,0.001654039814142505,0.5544880971192132,1.0,0.0016875091841265287,-0.5544880971192132,1.0
ENSG00000254946,LINC02751,0.001654039814142505,0.9695255963980571,1.0,0.0011250061227510192,-0.9695255963980571,1.0
ENSG00000254789,AC073172.1,0.0,0.5544880971192132,1.0,0.0005625030613755096,-0.5544880971192132,1.0
ENSG00000254645,AC087379.1,0.00330807962828501,-1.504405591934355,0.11141278848358215,0.01350007347301223,1.504405591934355,0.11141278848358215
ENSG00000110693,SOX6,0.01654039814142505,-1.1358274037481717,0.030337536416226184,0.03937521429628567,1.1358274037481717,0.030337536416226184
ENSG00000110696,C11orf58,0.5739518155074492,-0.7262293514420415,6.686778217899158e-06,0.9506301737246112,0.7262293514420415,6.686778217899158e-06
ENSG00000166689,PLEKHA7,0.004962119442427515,1.5544880971192132,0.33588541212988504,0.0016875091841265287,-1.5544880971192132,0.33588541212988504
ENSG00000110700,RPS13,9.67944099236194,-1.115852673186338,6.651250424157096e-17,20.957739060728738,1.115852673186338,6.651250424160499e-17
ENSG00000011405,PIK3C2A,0.167058021228393,0.49220381886487097,0.05763870216128975,0.11925064901160803,-0.49220381886487097,0.05763870216128975
ENSG00000070081,NUCB2,0.3572725998547811,0.7273246939814291,9.039540743438482e-05,0.21600117556819567,-0.7273246939814291,9.039540743438482e-05
ENSG00000260196,AC124798.1,0.008270199070712525,0.9695255963980571,0.5271759881568566,0.004500024491004077,-0.9695255963980571,0.5271759881568566
ENSG00000187486,KCNJ11,0.00661615925657002,0.5544880971192141,0.9190825492259425,0.005062527552379586,-0.5544880971192141,0.9190825492259425
ENSG00000129158,SERGEF,0.056237353680845176,-0.9235591996854309,0.003777765439311697,0.10912559390684887,0.9235591996854309,0.003777765439311697
ENSG00000129167,TPH1,0.00661615925657002,0.29145369128541976,1.0,0.006187533675130605,-0.29145369128541976,1.0
ENSG00000166788,SAAL1,0.06285351293741519,-0.9545255503686438,0.003656244757660658,0.12431317656398762,0.9545255503686438,0.003656244757660658
ENSG00000179826,MRGPRX3,0.0,-0.030474403601942868,1.0,0.0011250061227510192,0.030474403601942868,1.0
ENSG00000179817,MRGPRX4,0.0,-1.7674399977681485,0.2573259343407998,0.005062527552379586,1.7674399977681485,0.2573259343407998
ENSG00000173432,SAA1,0.024810597212137575,3.554488097119213,5.263704391029823e-06,0.0016875091841265287,-3.554488097119213,5.263704391029823e-06
ENSG00000110756,HPS5,0.10751258791926283,-0.6585056262149847,0.012296058994138187,0.17156343371953042,0.6585056262149847,0.012296058994138187
